,title,author,task 1,task 2,task 3,github,stars
1,Context R-CNN: Long Term Temporal Context for Per-Camera Object Detection,Sara Beery,object-detection,video-understanding,,https://github.com/tensorflow/models/tree/master/research/object_detection,64576
2,MnasFPN: Learning Latency-Aware Pyramid Architecture for Object Detection on Mobile Devices,Bo Chen,object-detection,,,https://github.com/tensorflow/models/tree/master/research/object_detection,64576
3,Google Landmarks Dataset v2 - A Large-Scale Benchmark for Instance-Level Recognition and Retrieval,Tobias Weyand,image-retrieval,transfer-learning,,https://github.com/tensorflow/models/tree/master/research/delf,64576
4,PointRend: Image Segmentation As Rendering,Alexander Kirillov,semantic-segmentation,,,https://github.com/facebookresearch/detectron2/tree/master/projects/PointRend,11147
5,Distilling Effective Supervision From Severe Label Noise,Zizhao Zhang,image-classification,,,https://github.com/google-research/google-research/tree/master/ieg,10588
6,Bridging the Gap Between Anchor-Based and Anchor-Free Detection via Adaptive Training Sample Selection,Shifeng Zhang,object-detection,,,https://github.com/open-mmlab/mmdetection,10263
7,Analyzing and Improving the Image Quality of StyleGAN,Tero Karras,image-generation,,,https://github.com/NVlabs/stylegan2,4713
8,SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization,Xianzhi Du,instance-segmentation,architecture-search,object-detection,https://github.com/tensorflow/tpu/tree/master/models/official/detection,3585
9,Self-Training With Noisy Student Improves ImageNet Classification,Qizhe Xie,data-augmentation,image-classification,,https://github.com/tensorflow/tpu/tree/master/models/official/efficientnet,3582
10,EfficientDet: Scalable and Efficient Object Detection,Mingxing Tan,object-detection,object-detection-in-aerial-images,pedestrian-detection,https://github.com/zylo117/Yet-Another-EfficientDet-Pytorch,3441
11,3D Photography Using Context-Aware Layered Depth Inpainting,Meng-Li Shih,novel-view-synthesis,,,https://github.com/vt-vl-lab/3d-photo-inpainting,3339
12,SynSin: End-to-End View Synthesis From a Single Image,Olivia Wiles,,,,https://github.com/facebookresearch/pytorch3d,3255
13,Background Matting: The World Is Your Green Screen,Soumyadip Sengupta,image-matting,,,https://github.com/senguptaumd/Background-Matting,3211
14,A Multigrid Method for Efficiently Training Video Models,Chao-Yuan Wu,task-194,action-detection,action-recognition-in-videos,https://github.com/facebookresearch/SlowFast,2592
15,PULSE: Self-Supervised Photo Upsampling via Latent Space Exploration of Generative Models,Sachit Menon,face-hallucination,image-super-resolution,super-resolution,https://github.com/adamian98/pulse,2201
16,Adversarial Latent Autoencoders,Stanislav Pidhorskyi,latent-variable-models,representation-learning,style-transfer,https://github.com/podgorskiy/ALAE,2161
17,PIFuHD: Multi-Level Pixel-Aligned Implicit Function for High-Resolution 3D Human Digitization,Shunsuke Saito,3d-object-reconstruction-from-a-single-image,,,https://github.com/facebookresearch/pifuhd,2034
18,GhostNet: More Features From Cheap Operations,Kai Han,image-classification,,,https://github.com/osmr/imgclsmob,1551
19,StarGAN v2: Diverse Image Synthesis for Multiple Domains,Yunjey Choi,image-generation,image-to-image-translation,,https://github.com/clovaai/stargan-v2,1406
20,VIBE: Video Inference for Human Body Pose and Shape Estimation,Muhammed Kocabas,3d-human-pose-estimation,3d-pose-estimation,motion-capture,https://github.com/mkocabas/VIBE,1230
21,Designing Network Design Spaces,Ilija Radosavovic,image-classification,architecture-search,object-detection,https://github.com/facebookresearch/pycls,1187
22,OccuSeg: Occupancy-Aware 3D Instance Segmentation,Lei Han,3d-instance-segmentation-1,instance-segmentation,multi-task-learning,https://github.com/facebookresearch/SparseConvNet,1137
23,Momentum Contrast for Unsupervised Visual Representation Learning,Kaiming He,contrastive-learning,object-classification,self-supervised-action-recognition,https://github.com/facebookresearch/moco,1125
24,Probabilistic Regression for Visual Tracking,Martin Danelljan,visual-tracking,,,https://github.com/visionml/pytracking,1080
25,nuScenes: A Multimodal Dataset for Autonomous Driving,Holger Caesar,3d-object-detection,autonomous-driving,autonomous-vehicles,https://github.com/traveller59/second.pytorch,906
26,BlendMask: Top-Down Meets Bottom-Up for Instance Segmentation,Hao Chen,instance-segmentation,real-time-instance-segmentation,semantic-segmentation,https://github.com/aim-uofa/adet,896
27,ABCNet: Real-Time Scene Text Spotting With Adaptive Bezier-Curve Network,Yuliang Liu,scene-text,scene-text-detection,text-spotting,https://github.com/aim-uofa/AdelaiDet,896
28,Mask Encoding for Single Shot Instance Segmentation,Rufeng Zhang,instance-segmentation,semantic-segmentation,,https://github.com/aim-uofa/AdelaiDet,896
29,MaskGAN: Towards Diverse and Interactive Facial Image Manipulation,Cheng-Han Lee,,,,https://github.com/switchablenorms/CelebAMask-HQ,763
30,CoverNet: Multimodal Behavior Prediction Using Trajectory Sets,Tung Phan-Minh,trajectory-prediction,,,https://github.com/nutonomy/nuscenes-devkit,640
31,Forward and Backward Information Retention for Accurate Binary Neural Networks,Haotong Qin,neural-network-compression,quantization,,https://github.com/JDAI-CV/dabnn,623
32,Towards Accurate Scene Text Recognition With Semantic Reasoning Networks,Deli Yu,scene-text,scene-text-recognition,,https://github.com/PaddlePaddle/PaddleOCR,618
33,Deep Snake for Real-Time Instance Segmentation,Sida Peng,instance-segmentation,object-localization,real-time-instance-segmentation,https://github.com/zju3dv/snake,584
34,PolarMask: Single Shot Instance Segmentation With Polar Representation,Enze Xie,instance-segmentation,object-detection,semantic-segmentation,https://github.com/xieenze/PolarMask,583
35,GAN Compression: Efficient Architectures for Interactive Conditional GANs,Muyang Li,image-generation,architecture-search,,https://github.com/mit-han-lab/gan-compression,551
36,Interpreting the Latent Space of GANs for Semantic Face Editing,Yujun Shen,face-generation,image-generation,,https://github.com/ShenYujun/InterFaceGAN,518
37,SuperGlue: Learning Feature Matching With Graph Neural Networks,Paul-Edouard Sarlin,domain-adaptation,homography-estimation,interest-point-detection,https://github.com/magicleap/SuperGluePretrainedNetwork,506
38,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,Shangzhe Wu,,,,https://github.com/elliottwu/unsup3d,504
39,Fast Sparse ConvNets,Erich Elsen,,,,https://github.com/google/XNNPACK,485
40,HigherHRNet: Scale-Aware Representation Learning for Bottom-Up Human Pose Estimation,Bowen Cheng,multi-person-pose-estimation,pose-estimation,representation-learning,https://github.com/HRNet/Higher-HRNet-Human-Pose-Estimation,482
41,Self-Supervised Learning of Pretext-Invariant Representations,Ishan Misra,object-detection,representation-learning,self-supervised-image-classification,https://github.com/HobbitLong/PyContrast,459
42,MSG-GAN: Multi-Scale Gradients for Generative Adversarial Networks,Animesh Karnewar,image-generation,,,https://github.com/akanimax/BMSG-GAN,454
43,CNN-Generated Images Are Surprisingly Easy to Spot... for Now,Sheng-Yu Wang,data-augmentation,image-generation,super-resolution,https://github.com/PeterWang512/CNNDetection,444
44,MixNMatch: Multifactor Disentanglement and Encoding for Conditional Image Generation,Yuheng Li,conditional-image-generation,image-generation,,https://github.com/Yuheng-Li/MixNMatch,424
45,RandLA-Net: Efficient Semantic Segmentation of Large-Scale Point Clouds,Qingyong Hu,3d-semantic-segmentation,semantic-segmentation,,https://github.com/QingyongHu/RandLA-Net,418
46,State-Aware Tracker for Real-Time Video Object Segmentation,Xi Chen,semantic-segmentation,semi-supervised-video-object-segmentation,video-object-segmentation,https://github.com/MegviiDetection/video_analyst,354
47,Learning to Cluster Faces via Confidence and Connectivity Estimation,Lei Yang,connectivity-estimation,face-clustering,,https://github.com/yl-1993/learn-to-cluster,349
48,Look-Into-Object: Self-Supervised Structure Modeling for Object Recognition,Mohan Zhou,fine-grained-image-classification,object-detection,object-recognition,https://github.com/JDAI-CV/DCL,337
49,DoveNet: Deep Image Harmonization via Domain Verification,Wenyan Cong,,,,https://github.com/bcmi/Image_Harmonization_Datasets,333
50,How to Train Your Deep Multi-Object Tracker,Yihong Xu,multi-object-tracking,multiple-object-tracking,multiple-people-tracking,https://github.com/yihongXU/deepMOT,326
51,Monocular Real-Time Hand Shape and Motion Capture Using Multi-Modal Data,Yuxiao Zhou,motion-capture,pose-estimation,,https://github.com/CalciferZh/minimal-hand,314
