,filename,title,author,task 1,task 2,task 3,github,stars
0,Kocabas_VIBE_Video_Inference_for_Human_Body_Pose_and_Shape_Estimation_CVPR_2020_paper,VIBE: Video Inference for Human Body Pose and Shape Estimation,Muhammed Kocabas,3d-human-pose-estimation,3d-pose-estimation,motion-capture,https://github.com/mkocabas/VIBE,1230
1,Cheng_HigherHRNet_Scale-Aware_Representation_Learning_for_Bottom-Up_Human_Pose_Estimation_CVPR_2020_paper,HigherHRNet: Scale-Aware Representation Learning for Bottom-Up Human Pose Estimation,Bowen Cheng,multi-person-pose-estimation,pose-estimation,representation-learning,https://github.com/HRNet/Higher-HRNet-Human-Pose-Estimation,482
2,Song_HybridPose_6D_Object_Pose_Estimation_Under_Hybrid_Representations_CVPR_2020_paper,HybridPose: 6D Object Pose Estimation Under Hybrid Representations,Chen Song,6d-pose-estimation,pose-estimation,,https://github.com/chensong1995/HybridPose,242
3,He_PVN3D_A_Deep_Point-Wise_3D_Keypoints_Voting_Network_for_6DoF_CVPR_2020_paper,PVN3D: A Deep Point-Wise 3D Keypoints Voting Network for 6DoF Pose Estimation,Yisheng He,6d-pose-estimation-1,keypoint-detection,pose-estimation,https://github.com/ethnhe/PVN3D,142
4,Jiang_Coherent_Reconstruction_of_Multiple_Humans_From_a_Single_Image_CVPR_2020_paper,Coherent Reconstruction of Multiple Humans From a Single Image,Wen Jiang,3d-pose-estimation,3d-reconstruction,instance-segmentation,https://github.com/JiangWenPL/multiperson,98
5,Chen_End-to-End_Learnable_Geometric_Vision_by_Backpropagating_PnP_Optimization_CVPR_2020_paper,End-to-End Learnable Geometric Vision by Backpropagating PnP Optimization,Bo Chen,6d-pose-estimation-1,6d-pose-estimation,,https://github.com/BoChenYS/BPnP,90
6,Huang_The_Devil_Is_in_the_Details_Delving_Into_Unbiased_Data_CVPR_2020_paper,The Devil Is in the Details: Delving Into Unbiased Data Processing for Human Pose Estimation,Junjie Huang,pose-estimation,,,https://github.com/HuangJunJie2017/UDP-Pose,76
7,Fabbri_Compressed_Volumetric_Heatmaps_for_Multi-Person_3D_Pose_Estimation_CVPR_2020_paper,Compressed Volumetric Heatmaps for Multi-Person 3D Pose Estimation,Matteo Fabbri,3d-human-pose-estimation,3d-pose-estimation,pose-estimation,https://github.com/fabbrimatteo/LoCO,62
8,Zhang_Generating_3D_People_in_Scenes_Without_People_CVPR_2020_paper,Generating 3D People in Scenes Without People,Yan Zhang,pose-estimation,,,https://github.com/yz-cnsdqz/PSI-release,48
9,Chen_G2L-Net_Global_to_Local_Network_for_Real-Time_6D_Pose_Estimation_CVPR_2020_paper,G2L-Net: Global to Local Network for Real-Time 6D Pose Estimation With Embedding Vector Features,Wei Chen,6d-pose-estimation-1,6d-pose-estimation,pose-estimation,https://github.com/DC1991/G2L_Net,44
10,Park_LatentFusion_End-to-End_Differentiable_Reconstruction_and_Rendering_for_Unseen_Object_Pose_CVPR_2020_paper,LatentFusion: End-to-End Differentiable Reconstruction and Rendering for Unseen Object Pose Estimation,Keunhong Park,6d-pose-estimation-1,6d-pose-estimation,pose-estimation,https://github.com/NVlabs/latentfusion,42
11,Li_Dynamic_Multiscale_Graph_Neural_Networks_for_3D_Skeleton_Based_Human_CVPR_2020_paper,Dynamic Multiscale Graph Neural Networks for 3D Skeleton Based Human Motion Prediction,Maosen Li,3d-human-pose-estimation,3d-pose-estimation,human-motion-prediction,https://github.com/limaosen0/DMGNN,28
