,title,author,task 1,task 2,task 3,github,stars
0,Google Landmarks Dataset v2 - A Large-Scale Benchmark for Instance-Level Recognition and Retrieval,Tobias Weyand,image-retrieval,transfer-learning,,https://github.com/tensorflow/models/tree/master/research/delf,64576
1,12-in-1: Multi-Task Vision and Language Representation Learning,Jiasen Lu,image-retrieval,question-answering,representation-learning,https://github.com/jiasenlu/vilbert_beta,282
2,Cross-Batch Memory for Embedding Learning,Xun Wang,image-retrieval,metric-learning,,https://github.com/MalongTech/research-xbm,38
3,Embedding Expansion: Augmentation in Embedding Space for Deep Metric Learning,Byungsoo Ko,image-retrieval,metric-learning,,https://github.com/clovaai/embedding-expansion,30
4,Generalized Product Quantization Network for Semi-Supervised Image Retrieval,Young Kyun Jang,image-retrieval,metric-learning,quantization,https://github.com/youngkyunJang/GPQ,7
5,Probability Weighted Compact Feature for Domain Adaptive Retrieval,Fuxiang Huang,image-retrieval,quantization,,https://github.com/fuxianghuang1/PWCF,6
6,"Same Features, Different Day: Weakly Supervised Feature Learning for Seasonal Invariance",Jaime Spencer,image-retrieval,,,https://github.com/jspenmar/DejaVu_Features,3
7,Evade Deep Image Retrieval by Stashing Private Images in the Hash Space,Yanru Xiao,image-retrieval,,,https://github.com/sugarruy/hashstash,1
8,Circle Loss: A Unified Perspective of Pair Similarity Optimization,Yifan Sun,face-recognition,image-retrieval,person-re-identification,https://github.com/TinyZeaMays/CircleLoss,201
9,ASLFeat: Learning Local Features of Accurate Shape and Localization,Zixin Luo,face-recognition,image-retrieval,person-re-identification,https://github.com/lzx551402/ASLFeat,83
10,D3Feat: Joint Learning of Dense Detection and Description of 3D Local Features,Xuyang Bai,face-recognition,image-retrieval,person-re-identification,https://github.com/XuyangBai/D3Feat,78
11,Fine-Grained Video-Text Retrieval With Hierarchical Graph Reasoning,Shizhe Chen,cross-modal-retrieval,image-retrieval,structured-prediction,https://github.com/cshizhe/hgr_v2t,42
12,Weakly Supervised Visual Semantic Parsing,Alireza Zareian,graph-generation,image-retrieval,scene-graph-generation,https://github.com/alirezazareian/vspnet,10
13,Sketch Less for More: On-the-Fly Fine-Grained Sketch-Based Image Retrieval,Ayan Kumar Bhunia,cross-modal-retrieval,image-retrieval,sketch-based-image-retrieval,https://github.com/AyanKumarBhunia/on-the-fly-FGSBIR,9
14,Sketchformer: Transformer-Based Representation for Sketched Structure,Leo Sampaio Ferraz Ribeiro,dictionary-learning,image-retrieval,sketch-based-image-retrieval,https://github.com/leosampaio/sketchformer,3
15,Hyperbolic Image Embeddings,Valentin Khrulkov,zero-shot-learning,image-classification,image-retrieval,https://github.com/KhrulkovV/hyperbolic-image-embeddings,153
16,Distilling Effective Supervision From Severe Label Noise,Zizhao Zhang,image-classification,,,https://github.com/google-research/google-research/tree/master/ieg,10588
17,GhostNet: More Features From Cheap Operations,Kai Han,image-classification,,,https://github.com/osmr/imgclsmob,1551
18,Designing Network Design Spaces,Ilija Radosavovic,image-classification,architecture-search,object-detection,https://github.com/facebookresearch/pycls,1187
19,Look-Into-Object: Self-Supervised Structure Modeling for Object Recognition,Mohan Zhou,fine-grained-image-classification,object-detection,object-recognition,https://github.com/JDAI-CV/DCL,337
20,Densely Connected Search Space for More Flexible Neural Architecture Search,Jiemin Fang,image-classification,architecture-search,,https://github.com/JaminFong/DenseNAS,230
21,SGAS: Sequential Greedy Architecture Search,Guohao Li,image-classification,architecture-search,node-classification,https://github.com/lightaime/sgas,94
22,Filter Response Normalization Layer: Eliminating Batch Dependence in the Training of Deep Neural Networks,Saurabh Singh,image-classification,object-detection,,https://github.com/gupta-abhay/pytorch-frn,94
23,Proxy Anchor Loss for Deep Metric Learning,Sungyeon Kim,fine-grained-image-classification,fine-grained-vehicle-classification,metric-learning,https://github.com/tjddus9597/Proxy-Anchor-CVPR2020,75
24,Neural Architecture Search for Lightweight Non-Local Networks,Yingwei Li,image-classification,architecture-search,,https://github.com/LiYingwei/AutoNL,66
25,Hit-Detector: Hierarchical Trinity Architecture Search for Object Detection,Jianyuan Guo,image-classification,architecture-search,object-detection,https://github.com/ggjy/HitDet.pytorch,63
26,Overcoming Classifier Imbalance for Long-Tail Object Detection With Balanced Group Softmax,Yu Li,image-classification,instance-segmentation,object-detection,https://github.com/FishYuLi/BalancedGroupSoftmax,61
27,Relation-Aware Global Attention for Person Re-Identification,Zhizheng Zhang,image-classification,person-re-identification,scene-segmentation,https://github.com/microsoft/Relation-Aware-Global-Attention-Networks,50
28,What's Hidden in a Randomly Weighted Neural Network?,Vivek Ramanujan,image-classification,,,https://github.com/allenai/hidden-networks,47
29,Group Sparsity: The Hinge Between Filter Pruning and Decomposition for Network Compression,Yawei Li,image-classification,image-super-resolution,neural-network-compression,https://github.com/ofsoundof/group_sparsity,30
30,Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference,Thomas Verelst,image-classification,pose-estimation,,https://github.com/thomasverelst/dynconv,22
31,Learning to Segment the Tail,Xinting Hu,image-classification,instance-segmentation,object-detection,https://github.com/JoyHuYY1412/LST_LVIS,19
32,Benchmarking Adversarial Robustness on Image Classification,Yinpeng Dong,image-classification,person-re-identification,image-classification,https://github.com/thu-ml/realsafe,16
33,Making Better Mistakes: Leveraging Class Hierarchies With Deep Networks,Luca Bertinetto,image-classification,,,https://github.com/fiveai/making-better-mistakes,16
34,Towards Large Yet Imperceptible Adversarial Image Perturbations With Perceptual Color Distance,Zhengyu Zhao,image-classification,,,https://github.com/ZhengyuZhao/PerC-Adversarial,14
35,MUXConv: Information Multiplexing in Convolutional Neural Networks,Zhichao Lu,image-classification,architecture-search,object-detection,https://github.com/human-analysis/MUXConv,12
36,Adaptive Subspaces for Few-Shot Learning,Christian Simon,few-shot-image-classification,few-shot-learning,meta-learning,https://github.com/chrysts/dsn_fewshot,10
37,Controllable Orthogonalization in Training DNNs,Lei Huang,image-classification,,,https://github.com/huangleiBuaa/ONI,8
38,Network Adjustment: Channel Search Guided by FLOPs Utilization Ratio,Zhengsu Chen,image-classification,network-pruning,,https://github.com/danczs/NetworkAdjustment,7
39,SOS: Selective Objective Switch for Rapid Immunofluorescence Whole Slide Image Classification,Sam Maksoud,image-classification,,,https://github.com/cradleai/LKS-Dataset,4
40,Attentive Weights Generation for Few Shot Learning via Information Maximization,Yiluan Guo,few-shot-image-classification,few-shot-learning,image-classification,https://github.com/Yiluan/AWGIM,0
41,Towards Verifying Robustness of Neural Networks Against A Family of Semantic Perturbations,Jeet Mohapatra,image-classification,,,https://github.com/JeetMo/Semantify-NN,0
42,Self-Training With Noisy Student Improves ImageNet Classification,Qizhe Xie,data-augmentation,image-classification,,https://github.com/tensorflow/tpu/tree/master/models/official/efficientnet,3582
43,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,Qilong Wang,dimensionality-reduction,image-classification,instance-segmentation,https://github.com/BangguWu/ECANet,228
44,SESS: Self-Ensembling Semi-Supervised 3D Object Detection,Na Zhao,3d-object-detection,image-classification,object-detection,https://github.com/Na-Z/sess,30
45,Regularizing Class-Wise Predictions via Self-Knowledge Distillation,Sukmin Yun,calibration,image-classification,,https://github.com/alinlab/cs-kd,23
46,Rotation Equivariant Graph Convolutional Network for Spherical Image Classification,Qin Yang,graph-construction,image-classification,,https://github.com/QinYang12/SGCN,5
